setting,split,q,N,share_u0_all,omitted_n,n0,k0,k0_over_n0,k0_CP95_lo,k0_CP95_hi,n_pos,k_pos,kpos_over_npos,kpos_CP95_lo,kpos_CP95_hi,share_u0_among_omitted
large/obqa/Text sampled,cal,0.8,1366,0.4699853587115666,1064,642,1,0.001557632398753894,3.943506039932285e-05,0.008647735437862906,422,17,0.04028436018957346,0.023639300853212412,0.06371712398345623,0.6033834586466166
large/obqa/Text sampled,dev,0.8,742,0.477088948787062,572,354,2,0.005649717514124294,0.0006849408240855525,0.020258669804245087,218,17,0.0779816513761468,0.046082083884524505,0.12192122966868937,0.6188811188811189
large/arc/Text sampled,cal,0.95,448,0.7165178571428571,422,321,0,0.0,0.0,0.011426057369519968,101,4,0.039603960396039604,0.010894483716810326,0.0983050186200594,0.7606635071090048
large/arc/Text sampled,dev,0.95,299,0.725752508361204,284,217,0,0.0,0.0,0.01685576921781151,67,9,0.13432835820895522,0.06330822616769406,0.2397417520625535,0.7640845070422535
